,Issue key,Resolved,Issue Type
118,TRP-1618,05/Mar/19 10:12 AM,Bug
119,TRP-1617,04/Mar/19 6:36 PM,Task
120,TRP-1286,04/Mar/19 10:18 AM,Story
121,TRP-1605,04/Mar/19 9:36 AM,Task
122,TRP-1610,28/Feb/19 4:17 PM,Sub-task
123,TRP-1611,28/Feb/19 4:16 PM,Sub-task
124,TRP-1516,27/Feb/19 4:24 PM,Story
125,TRP-1607,27/Feb/19 3:13 PM,Task
126,TRP-1474,27/Feb/19 3:04 PM,Story
127,TRP-1601,26/Feb/19 5:50 PM,Bug
128,TRP-1562,25/Feb/19 11:26 AM,Task
129,TRP-1589,25/Feb/19 9:47 AM,Bug
130,TRP-1583,22/Feb/19 5:16 PM,Task
131,TRP-1318,22/Feb/19 3:27 PM,Task
132,TRP-1518,21/Feb/19 8:41 PM,Story
133,TRP-1374,21/Feb/19 5:09 PM,Task
134,TRP-887,21/Feb/19 4:56 PM,Task
135,TRP-1438,21/Feb/19 4:30 PM,Task
136,TRP-1281,21/Feb/19 4:23 PM,Task
137,TRP-902,21/Feb/19 4:11 PM,Epic
138,TRP-900,21/Feb/19 4:11 PM,Epic
139,TRP-1328,19/Feb/19 5:33 PM,Story
140,TRP-1522,12/Feb/19 12:49 PM,Task
141,TRP-1460,08/Feb/19 3:53 PM,Story
142,TRP-1552,07/Feb/19 9:17 AM,Bug
143,TRP-1475,06/Feb/19 2:35 PM,Story
144,TRP-1358,04/Feb/19 2:15 PM,Task
145,TRP-1523,04/Feb/19 10:23 AM,Task
146,TRP-1507,31/Jan/19 5:33 PM,Bug
147,TRP-1526,29/Jan/19 2:38 PM,Sub-task
148,TRP-1531,29/Jan/19 2:38 PM,Sub-task
149,TRP-1532,29/Jan/19 2:37 PM,Sub-task
150,TRP-1487,29/Jan/19 2:37 PM,Story
151,TRP-1524,29/Jan/19 12:33 PM,Task
152,TRP-1512,29/Jan/19 12:09 PM,Task
153,TRP-1503,29/Jan/19 12:08 PM,Task
154,TRP-1528,25/Jan/19 10:35 AM,Bug
155,TRP-1501,24/Jan/19 11:27 AM,Story
156,TRP-1348,23/Jan/19 3:25 PM,Task
157,TRP-1362,22/Jan/19 2:48 PM,Task
158,TRP-1329,22/Jan/19 9:11 AM,Story
159,TRP-1511,18/Jan/19 2:09 PM,Task
160,TRP-1370,18/Jan/19 12:18 PM,Story
161,TRP-1356,16/Jan/19 6:02 PM,Task
162,TRP-1437,16/Jan/19 6:01 PM,Task
163,TRP-1344,16/Jan/19 6:00 PM,Task
164,TRP-1341,16/Jan/19 6:00 PM,Task
165,TRP-1436,16/Jan/19 4:02 PM,Task
166,TRP-1346,16/Jan/19 4:01 PM,Task
167,TRP-1342,16/Jan/19 4:01 PM,Task
168,TRP-1337,16/Jan/19 3:58 PM,Task
169,TRP-1357,16/Jan/19 3:27 PM,Task
170,TRP-1425,16/Jan/19 11:51 AM,Task
171,TRP-1368,09/Jan/19 11:12 AM,Task
172,TRP-1382,03/Jan/19 11:05 AM,Story
173,TRP-1422,03/Jan/19 10:58 AM,Story
174,TRP-1444,02/Jan/19 12:24 PM,Story
175,TRP-1366,27/Dec/18 11:15 AM,Story
176,TRP-1463,24/Dec/18 12:55 PM,Task
177,TRP-1499,21/Dec/18 2:47 PM,Task
178,TRP-1424,21/Dec/18 12:23 PM,Task
179,TRP-1465,21/Dec/18 9:03 AM,Task
180,TRP-1391,19/Dec/18 4:29 PM,Story
181,TRP-1497,19/Dec/18 11:33 AM,Story
182,TRP-1304,18/Dec/18 11:11 AM,Task
183,TRP-1338,14/Dec/18 5:15 PM,Story
184,TRP-1275,14/Dec/18 2:32 PM,Task
185,TRP-1434,14/Dec/18 2:29 PM,Task
186,TRP-1274,14/Dec/18 12:33 PM,Task
187,TRP-1459,14/Dec/18 11:30 AM,Bug
188,TRP-1419,13/Dec/18 10:03 AM,Story
189,TRP-1456,12/Dec/18 2:06 PM,Bug
190,TRP-1433,07/Dec/18 2:14 PM,Story
191,TRP-1420,04/Dec/18 5:20 PM,Task
192,TRP-1446,04/Dec/18 4:30 PM,Task
193,TRP-1431,04/Dec/18 3:46 PM,Story
194,TRP-1380,04/Dec/18 3:44 PM,Story
195,TRP-1399,28/Nov/18 1:42 PM,Story
196,TRP-1268,22/Nov/18 6:46 PM,Story
197,TRP-613,22/Nov/18 11:20 AM,Bug
198,TRP-1379,21/Nov/18 10:30 AM,Story
199,TRP-1398,21/Nov/18 10:30 AM,Story
200,TRP-783,20/Nov/18 6:58 PM,Bug
201,TRP-1360,20/Nov/18 6:55 PM,Bug
202,TRP-1378,20/Nov/18 2:33 PM,Story
203,TRP-1387,16/Nov/18 5:50 PM,Task
204,TRP-1388,16/Nov/18 5:46 PM,Story
205,TRP-1299,15/Nov/18 3:27 PM,Task
206,TRP-1322,15/Nov/18 10:04 AM,Story
